Monuments;Longitude;Lattitude
Eiffel Tower;48.858370;2.294481
Notre Dame de Paris;48.8529371;2.3500501
Arc de Triomphe;48.8738;2.295
Louvres Museum;48.861013;2.335858
Hotel de ville;48.8564263;2.3525276
Trocadero;48.861596;2.289282
Orsay Museum;48.859961;2.326561
Sacre coeur Basilic;48.8868058;2.3430153
Luxembourg Garden;48.846870;2.337170
Invalides Hotel;48.8565;2.3127
Panthéon;48.846222;2.346414
Garnier Palace;48.8714332;2.3319654
Tuileries Park;48.862636;2.323265
Vendome Place;48.8674634;2.3294281
Concorde Place;48.86545;2.3211338
Pompidou Center;48.8605918;2.3524743
Mars Field;48.856089327230166;2.297912836074829
Vosges Place;48.855619;2.3655424
Branly Museum;48.8609943;2.2979696
Plants Garden;48.8432224;2.359509
La Villette Park;48.8948898;2.3884384
Madeleine church;48.8701373;2.3245625
Army Museum;48.8570374;2.3118779
The Great Palace;48.8661613;2.312223
Champs elysées avenue;48.8707573;2.3053312
Catacombes;48.8337437;2.3322959
Holy Chapel;48.8553933;2.3449941
Bastille Place;48.8534936;2.3688094
Royal Palace Garden;48.8646598;2.3376311
French National Library ;48.833787;2.3756167
Montparnasse Tower;48.8421098;2.3219721
Saint Michel fountain;48.8532883;2.3436369
Arab World Institut;48.8489163;2.3574933
